rank,filter,grade,name,category,uploads,subscribers,views,stats_url,date_scraped,source
19,video views,A-,Surya Citra Televisi (SCTV),entertainment,9954,511K,365469410,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
20,video views,A-,Kompas TV,news,19942,460K,330017523,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
21,video views,A-,ascadamusik,music,109,361K,339423254,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
22,video views,A-,kastari sentra,film,351,477K,338043083,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
23,video views,A-,Edho Zell,entertainment,334,1.47M,331565651,https://socialblade.com/youtube/user/2ell,2022-09-15T03:46:01+00Z,socialblade
24,video views,B+,Rising Star Indonesia,music,1095,349K,330388411,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
25,video views,A-,TomoNews Indonesia,news,3739,212K,317929059,https://socialblade.com/youtube/user/7qobwa_qo29heg4lyysm-g,2022-09-15T03:46:01+00Z,socialblade
26,video views,B+,HITS Records,music,765,440K,291194541,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
27,video views,A-,Raditya Dika,entertainment,575,2.53M,289937314,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
28,video views,B+,Shaun the Sheep [BahasaIndonesia],film,143,379K,283514874,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
29,video views,B+,Pro-M,music,122,205K,267009421,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
30,video views,A-,LAST CHILD,entertainment,129,488K,264116854,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
31,video views,B+,LASTDAY Production,entertainment,135,944K,254736388,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
32,video views,A-,Stand Up Kompas TV,people,1293,369K,245610721,https://socialblade.com/youtube/user/8zz084em5pohjs6kk2bpaw,2022-09-15T03:46:01+00Z,socialblade
33,video views,A-,YtCrash,education,355,510K,245058453,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
34,video views,B+,WARNER MUSIC INDONESIA,music,456,214K,244526091,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
35,video views,B+,rezaoktovian,games,370,1.43M,240255184,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
36,video views,A-,KidsF,film,304,357K,237203905,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
37,video views,B+,89939893116992b,entertainment,3185,297K,225583238,https://socialblade.com/youtube/user/89939893116992b,2022-09-15T03:46:01+00Z,socialblade
38,video views,B+,MyMusic Records,music,442,230K,221783510,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
39,video views,B+,Pelangi Records,music,272,281K,221665052,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
40,video views,B+,Falcon,entertainment,9787,208K,218209698,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
41,video views,B+,rrvirus,games,2874,215K,212442952,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
42,video views,B+,Indonesia's Got Talent,entertainment,673,149K,210804707,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
43,video views,B+,Indonesian Idol,entertainment,4390,511K,206553684,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
44,video views,B+,Official NET News,news,76693,209K,205867977,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
45,video views,B+,GP Records,music,732,145K,203803416,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
46,video views,B+,MNCTV Official,entertainment,8251,259K,197105710,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
47,video views,B+,TRANS7 OFFICIAL,entertainment,17448,253K,195001241,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
48,video views,B+,Tokopedia,people,195,47K,188616575,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
49,video views,B+,Tim2one - ChandraLiow,entertainment,195,1.21M,188072959,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
50,video views,A-,Samudra Record,music,295,224K,187646702,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
51,video views,B+,X Factor Indonesia,entertainment,1745,723K,186265875,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
52,video views,B+,Young Lex,people,319,540K,185914141,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
53,video views,A-,MiawAug,games,1228,864K,183952246,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
54,video views,B+,The Voice Kids Indonesia,entertainment,274,261K,183817988,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
55,video views,A,GEN HALILINTAR,entertainment,163,971K,175052193,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
56,video views,B+,Net Entertainment News,entertainment,24559,171K,174292520,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
57,video views,A-,86 & Custom Protection NET,news,1168,219K,172135897,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
58,video views,B+,JudikaVEVO,music,15,153K,170593652,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
59,video views,B+,Official RCTI,entertainment,6028,230K,168552313,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
